Country,CountryCode,Year,Gender wage gap %,Globalization index,GDP(in $),Population,% Labour force participation(Men),% Labour force participation(Women),Employment rates of women with Low education level and have atleast 1 child,Employment rates of women with Moderate education level and have atleast 1 child,Employment rates of women with High education level and have atleast 1 child
Australia,11,1990,18.2,66,17373.049,17048002,75.6,52.2,NA,NA,NA
Australia,11,1991,16,67,17827.031,17271092,NA,NA,NA,NA,NA
Australia,11,1992,14.3,69,18234.54,17462500,NA,NA,NA,NA,NA
Australia,11,1993,13.2,70,19195.232,17631514,NA,NA,NA,NA,NA
Australia,11,1994,14.4,72,20150.082,17805506,NA,NA,NA,NA,NA
Australia,11,1995,14.5,72,21014.396,18003002,73.8,53.6,NA,NA,NA
Australia,11,1997,15.3,73,22125.264,18211850,NA,NA,NA,NA,NA
Australia,11,1998,13.2,73,23105.055,18410254,NA,NA,NA,NA,NA
Australia,11,1999,14.3,74,24360.82,18601666,NA,NA,NA,NA,NA
Australia,11,2000,17.2,76,25468.219,18800892,72.1,54.5,NA,NA,NA
Australia,11,2001,14.3,77,26532.564,19017968,NA,NA,NA,NA,NA
Australia,11,2002,15,78,27656.705,19248146,NA,NA,NA,NA,NA
Australia,11,2003,13,77,29016.678,19475842,NA,NA,NA,NA,NA
Australia,11,2004,14.4,78,30078.303,19699004,NA,NA,NA,NA,NA
Australia,11,2005,15.8,78,31722.475,19925060,72.1,57,NA,NA,NA
Australia,11,2006,16.7,78,33018.164,20171732,NA,NA,NA,NA,NA
Australia,11,2007,15.4,79,34800.918,20467032,NA,NA,NA,NA,NA
Australia,11,2008,11.9,80,36620.035,20830832,NA,NA,NA,NA,NA
Australia,11,2009,16.4,80,37517.855,21247876,NA,NA,NA,NA,NA
Australia,11,2010,14,80,40307.23,21660898,72.4,58.6,NA,NA,NA
Australia,11,2011,16,81,39371.656,22019166,NA,NA,NA,NA,NA
Australia,11,2012,13.8,81,42018.117,22357032,NA,NA,NA,NA,NA
Australia,11,2013,18,80,42847.297,22729272,NA,NA,NA,NA,NA
Australia,11,2014,15.4,80,45907.754,23111788,NA,NA,NA,NA,NA
Australia,11,2015,13,80,46882.188,23469578,71.1,59.1,NA,NA,NA
Australia,11,2016,14.3,80,46251.41,23820240,NA,NA,NA,NA,NA
Australia,11,2017,NA,81,47249.434,24195706,NA,NA,NA,NA,NA
Australia,11,2018,NA,81,48400.246,24590336,71,60.5,NA,NA,NA
Australia,11,2019,NA,81,50192.957,24979228,71.1,61,NA,NA,NA
Australia,11,2020,NA,81,51810.777,25357168,70,60.2,NA,NA,NA
Australia,11,2021,NA,80,53358.207,25670052,70.6,61.2,NA,NA,NA
Austria,12,1990,NA,74,19461.996,7678732,NA,NA,NA,NA,NA
Austria,12,1991,NA,78,20605.854,7755640,NA,NA,NA,NA,NA
Austria,12,1992,NA,78,21281.154,7840816,NA,NA,NA,NA,NA
Austria,12,1993,NA,79,21720.512,7905280,NA,NA,NA,NA,NA
Austria,12,1994,NA,80,22629.97,7935366,NA,NA,NA,NA,NA
Austria,12,1995,NA,81,23684.62,7947293,70.8,48.8,NA,NA,NA
Austria,12,1996,NA,82,24553.84,7958043,NA,NA,NA,NA,NA
Austria,12,1997,NA,83,25426.717,7967086,NA,NA,NA,NA,NA
Austria,12,1998,NA,84,26675.043,7975856,NA,NA,NA,NA,NA
Austria,12,1999,NA,84,27606.482,7991382,NA,NA,NA,NA,NA
Austria,12,2000,23.1,86,29376.02,8010425,68.9,49,NA,NA,NA
Austria,12,2001,22.8,86,29702.797,8039633,NA,NA,NA,NA,NA
Austria,12,2002,24.5,84,NA,NA,NA,NA,NA,NA,NA
Austria,12,2003,21.1,86,32144.242,8120105,NA,NA,NA,NA,NA
Austria,12,2004,22.4,87,33773.824,8171215,NA,NA,NA,NA,NA
Austria,12,2005,22,87,35013.715,8227034,66.4,51.3,NA,NA,NA
Austria,12,2006,21.9,87,NA,NA,NA,NA,53.3,73.5,80.4
Austria,12,2007,21.6,88,39430.61,8294720,NA,NA,54.4,73.4,79.4
Austria,12,2008,20.9,88,41316.227,8321134,NA,NA,52.7,75.3,81.9
Austria,12,2009,19.4,88,40918.133,8342939,NA,NA,53.1,77.5,83.1
Austria,12,2010,19.2,87,,,67.1,54.2,54,77.2,79.6
Austria,12,2011,18.6,88,46457.348,8429641,NA,NA,53.1,78.5,82
Austria,12,2012,18.2,88,47922.05,8479542,NA,NA,54.2,80.1,84.3
Austria,12,2013,18.1,88,49865.902,8642422,NA,NA,52.7,79.3,84
Austria,12,2014,17.7,89,NA,NA,NA,NA,53.6,78.2,83.5
Austria,12,2015,17,88,NA,NA,66.4,55.4,52.8,77.5,82.7
Austria,12,2016,NA,88,52684.016,8736491,NA,NA,51.7,77.8,85.5
Austria,12,2017,NA,89,54172.99,8797497,NA,NA,49.4,79.3,83.6
Austria,12,2018,NA,89,56960.09,8840518,67.1,55.9,53.4,79.3,83.3
Austria,12,2019,NA,89,58076.348,8879939,67,56,51.2,80.3,84.8
Austria,12,2020,NA,88,55685.97,8907780,66.2,55.6,50,79.3,85.9
Austria,12,2021,NA,NA,58430.64,8922086,66.7,55.9,48.4,76.7,83.6
Belgium,13,1990,NA,80,18678.01,9959565,71.3,46.1,NA,NA,NA
Belgium,13,1991,NA,82,19590.7,9987072,NA,NA,NA,NA,NA
Belgium,13,1992,NA,84,20261.479,10016455,NA,NA,NA,NA,NA
Belgium,13,1993,NA,84,20462.146,10043738,NA,NA,NA,NA,NA
Belgium,13,1994,NA,85,21507.121,10069182,NA,NA,NA,NA,NA
Belgium,13,1995,NA,85,22434.707,10095204,72.3,51.7,NA,NA,NA
Belgium,13,1996,NA,85,22738.45,10123230,NA,NA,NA,NA,NA
Belgium,13,1997,NA,85,23732.271,10154876,NA,NA,NA,NA,NA
Belgium,13,1998,NA,85,24368.914,10188541,NA,NA,NA,NA,NA
Belgium,13,1999,15.2,86,25440.842,10224223,NA,NA,NA,NA,NA
Belgium,13,2000,13.6,87,27784.572,10264351,61.5,43.4,NA,NA,NA
Belgium,13,2001,13.2,87,28788.062,10309249,NA,NA,NA,NA,NA
Belgium,13,2002,11.6,86,30282.29,10355569,NA,NA,NA,NA,NA
Belgium,13,2003,15.2,87,30932.852,10402550,NA,NA,NA,NA,NA
Belgium,13,2004,11.8,87,32063.08,10456164,NA,NA,NA,NA,NA
Belgium,13,2005,11.5,87,33177.89,10516979,61.4,45.7,NA,NA,NA
Belgium,13,2006,10.3,88,35259.188,10582970,NA,NA,41.3,70.2,87.1
Belgium,13,2007,9.9,89,36791.2,10653698,NA,NA,42,70.1,87.4
Belgium,13,2008,8.9,89,37883.332,10726720,NA,NA,43.3,72.3,87.7
Belgium,13,2009,7.5,90,37749.508,10801357,NA,NA,40.1,71.2,87.1
Belgium,13,2010,7,90,39840.09,10877948,60.8,47.7,41.6,71,88.5
Belgium,13,2011,5.8,90,40942.37,10955742,NA,NA,41.5,69.9,87.4
Belgium,13,2012,6.4,90,42290.76,11031140,NA,NA,41.2,70.7,88.4
Belgium,13,2013,5.9,90,43671.12,11103260,NA,NA,39.8,71.3,87.7
Belgium,13,2014,3.3,91,44929.688,11176727,NA,NA,37.7,71.4,88
Belgium,13,2015,NA,90,46200.906,11248306,58.9,48,37.7,69,88
Belgium,13,2016,NA,90,48597.4,11316837,NA,NA,37,69.4,88
Belgium,13,2017,NA,90,50442.27,11384491,NA,NA,NA,NA,NA
Belgium,13,2018,NA,90,52535.23,11448598,59,49.5,41,72.1,89.8
Belgium,13,2019,NA,90,54278.39,11510569,59.1,49.8,34.6,71.8,89.5
Belgium,13,2020,NA,90,53096.14,11561716,58.5,49.3,32.7,70.4,87.4
Belgium,13,2021,NA,NA,58905.164,11611416,59.1,50,38.2,70.4,89.9
Canada,14,1990,NA,69,NA,NA,76.1,58.5,NA,NA,NA
Canada,14,1991,NA,72,NA,NA,NA,NA,NA,NA,NA
Canada,14,1992,NA,73,NA,NA,NA,NA,NA,NA,NA
Canada,14,1993,NA,74,NA,NA,NA,NA,NA,NA,NA
Canada,14,1994,NA,74,NA,NA,NA,NA,NA,NA,NA
Canada,14,1995,NA,75,NA,NA,72.5,57.5,NA,NA,NA
Canada,14,1996,NA,76,NA,NA,NA,NA,NA,NA,NA
Canada,14,1997,24.7,79,25258.861,29882752,NA,NA,NA,NA,NA
Canada,14,1998,24.9,80,26319.674,30144816,NA,NA,NA,NA,NA
Canada,14,1999,24,81,27841.354,30399776,NA,NA,NA,NA,NA
Canada,14,2000,23.9,81,29362.084,30683316,72.3,59.4,NA,NA,NA
Canada,14,2001,24.3,81,30230.803,31002768,NA,NA,NA,NA,NA
Canada,14,2002,24,80,30963.053,31322400,NA,NA,NA,NA,NA
Canada,14,2003,22.5,80,32349.943,31619456,NA,NA,NA,NA,NA
Canada,14,2004,22.7,80,33925.707,31911670,NA,NA,NA,NA,NA
Canada,14,2005,21.3,81,36327.23,32215914,72.8,61.7,NA,NA,NA
Canada,14,2006,21.1,81,38119.414,32531864,NA,NA,NA,NA,NA
Canada,14,2007,20.8,82,39575.31,32862458,NA,NA,NA,NA,NA
Canada,14,2008,20.5,82,40376.31,33218542,NA,NA,NA,NA,NA
Canada,14,2009,20.1,82,38865.414,33593920,NA,NA,NA,NA,NA
Canada,14,2010,19,82,40099.45,33963416,71.5,62,NA,NA,NA
Canada,14,2011,19.2,83,41666.707,34323536,NA,NA,NA,NA,NA
Canada,14,2012,19.5,83,42290.965,34691876,NA,NA,NA,NA,NA
Canada,14,2013,19.3,83,44298.58,35063696,NA,NA,NA,NA,NA
Canada,14,2014,19.2,84,45753.75,35404616,NA,NA,NA,NA,NA
Canada,14,2015,18.6,84,44670.082,35732120,70.6,61.1,NA,NA,NA
Canada,14,2016,NA,84,46472.34,36113532,NA,NA,NA,NA,NA
Canada,14,2017,NA,84,48317.176,36554344,NA,NA,43.5,65.4,80.6
Canada,14,2018,NA,84,49992.76,37035260,69.7,61,42.6,64.5,80.4
Canada,14,2019,NA,84,49299.21,37522584,70.1,61.3,42.4,64.4,81.9
Canada,14,2020,NA,84,46572.137,37888704,68.7,59.6,42.3,60.7,78.8
Canada,14,2021,NA,NA,52085.035,38155012,69.6,60.6,44.4,64.1,80.8
Colombia,15,1990,NA,44,5083.6704,32601396,NA,NA,NA,NA,NA
Colombia,15,1991,NA,45,5252.637,33272632,NA,NA,NA,NA,NA
Colombia,15,1992,NA,46,5479.8916,33939044,NA,NA,NA,NA,NA
Colombia,15,1993,NA,47,5796.4907,34614732,NA,NA,NA,NA,NA
Colombia,15,1994,NA,48,6143.6934,35295460,NA,NA,NA,NA,NA
Colombia,15,1995,NA,49,6475.079,35970104,NA,NA,NA,NA,NA
Colombia,15,1996,NA,47,6607.499,36632576,NA,NA,NA,NA,NA
Colombia,15,1997,NA,50,6829.085,37291948,NA,NA,NA,NA,NA
Colombia,15,1998,NA,48,6825.8706,37944416,NA,NA,NA,NA,NA
Colombia,15,1999,NA,52,6520.9644,38585040,NA,NA,NA,NA,NA
Colombia,15,2000,NA,52,6753.465,39215136,NA,NA,NA,NA,NA
Colombia,15,2001,NA,53,6911.7275,39837876,NA,NA,NA,NA,NA
Colombia,15,2002,NA,48,7085.6206,40454056,NA,NA,NA,NA,NA
Colombia,15,2003,NA,50,7398.1836,41057688,NA,NA,NA,NA,NA
Colombia,15,2004,NA,51,7888.45,41648272,NA,NA,NA,NA,NA
Colombia,15,2005,NA,52,8412.997,42220944,80.7,52.2,NA,NA,NA
Colombia,15,2006,NA,57,9135.679,42772912,NA,NA,NA,NA,NA
Colombia,15,2007,1.3,58,9891.376,43306592,NA,NA,NA,NA,NA
Colombia,15,2008,1.7,58,10291.2,43815316,NA,NA,NA,NA,NA
Colombia,15,2009,3.4,58,10357.334,44313916,NA,NA,NA,NA,NA
Colombia,15,2010,6.4,59,10830.195,44816104,81.3,56,NA,NA,NA
Colombia,15,2011,3.5,60,11694.727,45308896,NA,NA,NA,NA,NA
Colombia,15,2012,8.2,61,12095.648,45782420,NA,NA,NA,NA,NA
Colombia,15,2013,7.1,62,12798.663,46237928,NA,NA,NA,NA,NA
Colombia,15,2014,9.6,62,13390.032,46677944,NA,NA,NA,NA,NA
Colombia,15,2015,11.1,62,13378.675,47119728,81.6,58.6,NA,NA,NA
Colombia,15,2016,NA,63,13971.34,47625960,NA,NA,NA,NA,NA
Colombia,15,2017,NA,63,14334.915,48351668,NA,NA,NA,NA,NA
Colombia,15,2018,NA,63,15161.318,49276968,80.7,57.4,NA,NA,NA
Colombia,15,2019,NA,64,15720.574,50187404,79.9,56.6,NA,NA,NA
Colombia,15,2020,NA,63,14854.521,50930656,76.4,51.2,NA,NA,NA
Colombia,15,2021,NA,NA,16819.176,51516560,77.9,52.4,NA,NA,NA
Czechia,16,1990,NA,NA,12717.97,10301190,NA,NA,NA,NA,NA
Czechia,16,1991,NA,NA,11648.854,10303359,NA,NA,NA,NA,NA
Czechia,16,1992,NA,NA,11841.855,10310956,NA,NA,NA,NA,NA
Czechia,16,1993,NA,65,12117.449,10318915,NA,NA,NA,NA,NA
Czechia,16,1994,NA,66,12731.671,10321309,NA,NA,NA,NA,NA
Czechia,16,1995,NA,68,13852.15,10311702,71.5,52.3,NA,NA,NA
Czechia,16,1996,18.3,68,14685.693,10295653,NA,NA,NA,NA,NA
Czechia,16,1997,18.4,70,14824.659,10279042,NA,NA,NA,NA,NA
Czechia,16,1998,NA,71,14977.722,10263837,NA,NA,NA,NA,NA
Czechia,16,1999,19,73,15396.312,10249145,NA,NA,NA,NA,NA
Czechia,16,2000,NA,75,16235.48,10234712,69.8,51.6,NA,NA,NA
Czechia,16,2001,16.9,77,17621.055,10230273,NA,NA,NA,NA,NA
Czechia,16,2002,16,77,18252.572,10238170,NA,NA,NA,NA,NA
Czechia,16,2003,15.6,77,19538.07,10248039,NA,NA,NA,NA,NA
Czechia,16,2004,16.1,79,20932.078,10261003,NA,NA,NA,NA,NA
Czechia,16,2005,15.9,80,22095.389,10280122,68.7,50.6,NA,NA,NA
Czechia,16,2006,15.4,81,23923.703,10304822,NA,NA,36.7,60.4,65.9
Czechia,16,2007,16.9,82,26282.375,10337831,NA,NA,33.6,59.1,65.2
Czechia,16,2008,17.9,82,27974.486,10378586,NA,NA,34.5,59.5,60.8
Czechia,16,2009,15.1,81,27761.51,10421515,NA,NA,30.9,59.1,59.1
Czechia,16,2010,15.8,82,27881.969,10464750,68,49.3,31.1,59.4,59.3
Czechia,16,2011,16.3,82,29001.367,10496379,NA,NA,31,61.8,58.6
Czechia,16,2012,15.3,83,29254.73,10511065,NA,NA,34.2,61.1,62.3
Czechia,16,2013,15.4,83,30818.107,10514547,NA,NA,35.4,62.1,62.8
Czechia,16,2014,16.3,84,32502.475,10517178,NA,NA,29.7,64.7,61.8
Czechia,16,2015,16.5,85,33899.285,10523801,68,51.3,27.8,65.1,63
Czechia,16,2016,16.3,85,36097.707,10527584,NA,NA,37.5,68.8,64.8
Czechia,16,2017,NA,85,38824.887,10531315,NA,NA,35.6,69.2,65.9
Czechia,16,2018,NA,85,41135.492,10534598,68.7,52.8,43,69.6,68.2
Czechia,16,2019,NA,85,42847.004,10536876,68.5,52.6,41.7,70.7,65.8
Czechia,16,2020,NA,85,41608.023,10530951,68.1,51.8,40.4,69,65.6
Czechia,16,2021,NA,NA,45093.656,10510748,68,51.9,45.3,68.5,65.2
Denmark,18,1990,NA,77,18233.945,5144626,87.1,77.6,NA,NA,NA
Denmark,18,1991,NA,79,19063.744,5158325,NA,NA,NA,NA,NA
Denmark,18,1992,NA,80,19814.143,5175466,NA,NA,NA,NA,NA
Denmark,18,1993,NA,81,20218.5,5193776,NA,NA,NA,NA,NA
Denmark,18,1994,NA,82,21678.084,5213801,NA,NA,NA,NA,NA
Denmark,18,1995,NA,82,22684.252,5235205,85.6,73.3,NA,NA,NA
Denmark,18,1996,NA,82,23734.832,5256002,NA,NA,NA,NA,NA
Denmark,18,1997,NA,83,24928.402,5277385,NA,NA,NA,NA,NA
Denmark,18,1998,NA,84,25814.059,5298991,NA,NA,NA,NA,NA
Denmark,18,1999,NA,84,26653.824,5319856,NA,NA,NA,NA,NA
Denmark,18,2000,NA,86,28658.125,5340662,71.1,60.1,NA,NA,NA
Denmark,18,2001,NA,87,29437.31,5360753,NA,NA,NA,NA,NA
Denmark,18,2002,10.8,85,30640.346,5378700,NA,NA,NA,NA,NA
Denmark,18,2003,9.9,87,30820.389,5396355,NA,NA,NA,NA,NA
Denmark,18,2004,10.2,87,32938.69,5415583,NA,NA,NA,NA,NA
Denmark,18,2005,10.2,88,34150.16,5436314,60.3,67.4,NA,NA,NA
Denmark,18,2006,10.2,88,37334.39,5457863,NA,NA,NA,NA,NA
Denmark,18,2007,9.9,89,39006.203,5479722,NA,NA,NA,NA,NA
Denmark,18,2008,10.2,89,41278.33,5502752,NA,NA,NA,NA,NA
Denmark,18,2009,10.2,88,40331.406,5526455,NA,NA,NA,NA,NA
Denmark,18,2010,8.9,88,43003.055,5550850,68.2,58.8,NA,NA,NA
Denmark,18,2011,7.9,88,44403.387,5576016,NA,NA,54.9,79.9,87.6
Denmark,18,2012,7,87,44803.97,5600955,NA,NA,51.4,77.7,86.3
Denmark,18,2013,6.8,87,46726.855,5625393,NA,NA,50.5,76.1,88.9
Denmark,18,2014,6.3,88,47901.45,5650654,NA,NA,53.9,74.8,86.9
Denmark,18,2015,5.8,88,49045.34,5677795,66,56.7,39.9,79.9,87.5
Denmark,18,2016,NA,88,51976.004,5706856,NA,NA,48.9,80.4,88.4
Denmark,18,2017,NA,88,55356.68,5737286,NA,NA,48,79.4,86.3
Denmark,18,2018,NA,88,57482.96,5766689,66.1,57.5,43.6,80.1,88.5
Denmark,18,2019,NA,88,58700.977,5795879,66.8,57.9,57.2,77.5,88.4
Denmark,18,2020,NA,88,60229.914,5825638,66.3,57.7,54.4,75.2,88.4
Denmark,18,2021,NA,NA,64651.215,5854246,67,58,50,80.1,88.2
Finland,19,1990,22.9,70,18136.402,4986551,74.9,64.8,NA,NA,NA
Finland,19,1991,21.5,73,17549.95,5013856,NA,NA,NA,NA,NA
Finland,19,1992,20.3,74,17261.227,5042120,NA,NA,NA,NA,NA
Finland,19,1993,22,76,17468.674,5066609,NA,NA,NA,NA,NA
Finland,19,1994,23.1,77,18469.002,5088491,NA,NA,NA,NA,NA
Finland,19,1995,22.4,78,19576.568,5107942,70,60.9,NA,NA,NA
Finland,19,1996,20.6,79,20082.338,5124717,NA,NA,NA,NA,NA
Finland,19,1997,21.3,80,21794.486,5139944,NA,NA,NA,NA,NA
Finland,19,1998,20.8,81,23576.945,5153548,NA,NA,NA,NA,NA
Finland,19,1999,21.7,82,24767.281,5165500,NA,NA,NA,NA,NA
Finland,19,2000,20.4,84,26784.707,5176208,70.5,63.3,NA,NA,NA
Finland,19,2001,21.2,84,27795.676,5188007,NA,NA,NA,NA,NA
Finland,19,2002,20.4,83,28605.123,5200588,NA,NA,NA,NA,NA
Finland,19,2003,20.1,83,29051.486,5212991,NA,NA,NA,NA,NA
Finland,19,2004,20,85,31201.734,5228143,NA,NA,NA,NA,NA
Finland,19,2005,18.9,84,32051.795,5246070,69.5,64.2,NA,NA,NA
Finland,19,2006,19.4,85,34455.105,5266249,NA,NA,58.8,70.8,80.2
Finland,19,2007,21.4,87,37838.34,5288694,NA,NA,58.2,69.6,81.8
Finland,19,2008,21.2,87,40083.7,5313358,NA,NA,57.9,73.6,82
Finland,19,2009,19.7,86,37972.27,5338813,NA,NA,55.3,71.4,80.8
Finland,19,2010,18.9,86,38956.473,5363279,69.4,63.7,55.5,70.7,79.2
Finland,19,2011,18.6,86,40916.84,5388173,NA,NA,50.9,71.3,78.6
Finland,19,2012,18.7,87,40873.094,5413865,NA,NA,47.2,69.9,80.8
Finland,19,2013,20.2,86,41493.14,5438873,NA,NA,45.4,67.1,77.2
Finland,19,2014,19.6,88,41757.402,5461436,NA,NA,NA,NA,NA
